1783499626.083799 server started (988184): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1783499626.083836 on Linux 6.18.35.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Wed Jun 17 23:14:00 UTC 2026
1783499626.083849 using libevent 2.1.12-stable poll
1783499626.083852 using ncurses 6.4 20240113
1783499626.097724 cmd_parse_build_commands 0:2: WheelUpPane
1783499626.097726 cmd_parse_build_commands 0:3 0:0: if
1783499626.097728 cmd_parse_build_commands 0:3 0:1: -F
1783499626.097730 cmd_parse_build_commands 0:3 0:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097732 cmd_parse_build_commands 0:3 0:3 0:0: send
1783499626.097734 cmd_parse_build_commands 0:3 0:3 0:1: -M
1783499626.097736 cmd_parse_build_commands 0:3 0:4 0:0: copy-mode
1783499626.097737 cmd_parse_build_commands 0:3 0:4 0:1: -e
1783499626.097740 cmd_parse_build_commands 0:0: if
1783499626.097741 cmd_parse_build_commands 0:1: -F
1783499626.097744 cmd_parse_build_commands 0:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097750 cmd_parse_build_commands 0:3 0:0: send
1783499626.097751 cmd_parse_build_commands 0:3 0:1: -M
1783499626.097753 cmd_parse_build_commands 0:4 0:0: copy-mode
1783499626.097755 cmd_parse_build_commands 0:4 0:1: -e
1783499626.097757 cmd_parse_build_commands 0:0: send
1783499626.097759 cmd_parse_build_commands 0:1: -M
1783499626.097763 args_parse_flags: next -M
1783499626.097764 args_parse_flags: -M
1783499626.097766 args_parse: flags end at 2 of 2
1783499626.097768 cmd_parse_build_commands: send-keys -M
1783499626.097770 cmd_parse_build_commands 0:0: copy-mode
1783499626.097771 cmd_parse_build_commands 0:1: -e
1783499626.097774 args_parse_flags: next -e
1783499626.097775 args_parse_flags: -e
1783499626.097777 args_parse: flags end at 2 of 2
1783499626.097779 cmd_parse_build_commands: copy-mode -e
1783499626.097781 args_parse_flags: next -F
1783499626.097782 args_parse_flags: -F
1783499626.097784 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097786 args_parse: flags end at 2 of 5
1783499626.097788 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1783499626.097790 args_parse: 3 = send-keys -M (type COMMANDS)
1783499626.097793 args_parse: 4 = copy-mode -e (type COMMANDS)
1783499626.097799 cmd_parse_build_commands: if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e }
1783499626.097801 args_parse_flags: next -n
1783499626.097802 args_parse_flags: -n
1783499626.097804 args_parse_flags: next WheelUpPane
1783499626.097805 args_parse: flags end at 2 of 4
1783499626.097807 args_parse: 2 = WheelUpPane (type STRING)
1783499626.097813 args_parse: 3 = if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e } (type COMMANDS)
1783499626.097821 cmd_parse_build_commands: bind-key -n WheelUpPane { if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e } }
1783499626.097825 cmdq_get_command: [bind-key/0x58e4724d7fd0] group 845
1783499626.097827 cmdq_append <global>: [bind-key/0x58e4724d7fd0]
1783499626.097831 yylex_token: end at WS
1783499626.097832 yylex_token: bind
1783499626.097834 yylex_token: end at WS
1783499626.097835 yylex_token: -n
1783499626.097837 yylex_token: end at WS
1783499626.097839 yylex_token: MouseDown2Pane
1783499626.097841 yylex_token: end at WS
1783499626.097842 yylex_token: select-pane
1783499626.097844 yylex_token: end at ;
1783499626.097845 yylex_token: -t=
1783499626.097846 yylex_token: end at WS
1783499626.097848 yylex_token: if
1783499626.097849 yylex_token: end at WS
1783499626.097850 yylex_token: -F
1783499626.097853 yylex_token: end at WS
1783499626.097855 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097856 yylex_token: end at WS
1783499626.097857 yylex_token: send
1783499626.097859 yylex_token: end at WS
1783499626.097860 yylex_token: -M
1783499626.097862 yylex_token: end at WS
1783499626.097863 yylex_token: paste
1783499626.097864 yylex_token: end at WS
1783499626.097866 yylex_token: -p
1783499626.097869 cmd_parse_build_commands 0:0: bind
1783499626.097870 cmd_parse_build_commands 0:1: -n
1783499626.097872 cmd_parse_build_commands 0:2: MouseDown2Pane
1783499626.097874 cmd_parse_build_commands 0:3 0:0: select-pane
1783499626.097876 cmd_parse_build_commands 0:3 0:1: -t=
1783499626.097878 cmd_parse_build_commands 0:3 1:0: if
1783499626.097879 cmd_parse_build_commands 0:3 1:1: -F
1783499626.097882 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097883 cmd_parse_build_commands 0:3 1:3 0:0: send
1783499626.097885 cmd_parse_build_commands 0:3 1:3 0:1: -M
1783499626.097887 cmd_parse_build_commands 0:3 1:4 0:0: paste
1783499626.097889 cmd_parse_build_commands 0:3 1:4 0:1: -p
1783499626.097891 cmd_parse_build_commands 0:0: select-pane
1783499626.097893 cmd_parse_build_commands 0:1: -t=
1783499626.097894 cmd_parse_build_commands 1:0: if
1783499626.097896 cmd_parse_build_commands 1:1: -F
1783499626.097898 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097900 cmd_parse_build_commands 1:3 0:0: send
1783499626.097904 cmd_parse_build_commands 1:3 0:1: -M
1783499626.097907 cmd_parse_build_commands 1:4 0:0: paste
1783499626.097908 cmd_parse_build_commands 1:4 0:1: -p
1783499626.097912 args_parse_flags: next -t=
1783499626.097914 args_parse_flag_argument: -t = =
1783499626.097915 args_parse: flags end at 2 of 2
1783499626.097918 cmd_parse_build_commands 0:0: send
1783499626.097919 cmd_parse_build_commands 0:1: -M
1783499626.097922 args_parse_flags: next -M
1783499626.097924 args_parse_flags: -M
1783499626.097925 args_parse: flags end at 2 of 2
1783499626.097928 cmd_parse_build_commands: send-keys -M
1783499626.097930 cmd_parse_build_commands 0:0: paste
1783499626.097931 cmd_parse_build_commands 0:1: -p
1783499626.097935 args_parse_flags: next -p
1783499626.097936 args_parse_flags: -p
1783499626.097938 args_parse: flags end at 2 of 2
1783499626.097940 cmd_parse_build_commands: paste-buffer -p
1783499626.097942 args_parse_flags: next -F
1783499626.097944 args_parse_flags: -F
1783499626.097946 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.097947 args_parse: flags end at 2 of 5
1783499626.097949 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1783499626.097952 args_parse: 3 = send-keys -M (type COMMANDS)
1783499626.097954 args_parse: 4 = paste-buffer -p (type COMMANDS)
1783499626.097961 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p }
1783499626.097964 args_parse_flags: next -n
1783499626.097965 args_parse_flags: -n
1783499626.097966 args_parse_flags: next MouseDown2Pane
1783499626.097968 args_parse: flags end at 2 of 4
1783499626.097970 args_parse: 2 = MouseDown2Pane (type STRING)
1783499626.097976 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p } (type COMMANDS)
1783499626.097985 cmd_parse_build_commands: bind-key -n MouseDown2Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p } }
1783499626.097989 cmdq_get_command: [bind-key/0x58e4724e7000] group 861
1783499626.097991 cmdq_append <global>: [bind-key/0x58e4724e7000]
1783499626.097996 yylex_token: end at WS
1783499626.097997 yylex_token: bind
1783499626.097999 yylex_token: end at WS
1783499626.098000 yylex_token: -n
1783499626.098002 yylex_token: end at WS
1783499626.098004 yylex_token: DoubleClick1Pane
1783499626.098005 yylex_token: end at WS
1783499626.098007 yylex_token: select-pane
1783499626.098008 yylex_token: end at ;
1783499626.098009 yylex_token: -t=
1783499626.098011 yylex_token: end at WS
1783499626.098012 yylex_token: if
1783499626.098013 yylex_token: end at WS
1783499626.098015 yylex_token: -F
1783499626.098017 yylex_token: end at WS
1783499626.098019 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098020 yylex_token: end at WS
1783499626.098022 yylex_token: send
1783499626.098023 yylex_token: end at WS
1783499626.098024 yylex_token: -M
1783499626.098026 yylex_token: end at WS
1783499626.098028 yylex_token: copy-mode
1783499626.098029 yylex_token: end at ;
1783499626.098030 yylex_token: -H
1783499626.098032 yylex_token: end at WS
1783499626.098033 yylex_token: send
1783499626.098034 yylex_token: end at WS
1783499626.098036 yylex_token: -X
1783499626.098037 yylex_token: end at ;
1783499626.098039 yylex_token: select-word
1783499626.098041 yylex_token: end at WS
1783499626.098042 yylex_token: run
1783499626.098043 yylex_token: end at ;
1783499626.098045 yylex_token: -d0.3
1783499626.098046 yylex_token: end at WS
1783499626.098047 yylex_token: send
1783499626.098049 yylex_token: end at WS
1783499626.098050 yylex_token: -X
1783499626.098052 yylex_token: end at WS
1783499626.098053 yylex_token: copy-pipe-and-cancel
1783499626.098056 cmd_parse_build_commands 0:0: bind
1783499626.098058 cmd_parse_build_commands 0:1: -n
1783499626.098060 cmd_parse_build_commands 0:2: DoubleClick1Pane
1783499626.098062 cmd_parse_build_commands 0:3 0:0: select-pane
1783499626.098066 cmd_parse_build_commands 0:3 0:1: -t=
1783499626.098068 cmd_parse_build_commands 0:3 1:0: if
1783499626.098069 cmd_parse_build_commands 0:3 1:1: -F
1783499626.098072 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098073 cmd_parse_build_commands 0:3 1:3 0:0: send
1783499626.098075 cmd_parse_build_commands 0:3 1:3 0:1: -M
1783499626.098077 cmd_parse_build_commands 0:3 1:4 0:0: copy-mode
1783499626.098079 cmd_parse_build_commands 0:3 1:4 0:1: -H
1783499626.098081 cmd_parse_build_commands 0:3 1:4 1:0: send
1783499626.098082 cmd_parse_build_commands 0:3 1:4 1:1: -X
1783499626.098084 cmd_parse_build_commands 0:3 1:4 1:2: select-word
1783499626.098086 cmd_parse_build_commands 0:3 1:4 2:0: run
1783499626.098088 cmd_parse_build_commands 0:3 1:4 2:1: -d0.3
1783499626.098090 cmd_parse_build_commands 0:3 1:4 3:0: send
1783499626.098091 cmd_parse_build_commands 0:3 1:4 3:1: -X
1783499626.098093 cmd_parse_build_commands 0:3 1:4 3:2: copy-pipe-and-cancel
1783499626.098096 cmd_parse_build_commands 0:0: select-pane
1783499626.098097 cmd_parse_build_commands 0:1: -t=
1783499626.098099 cmd_parse_build_commands 1:0: if
1783499626.098101 cmd_parse_build_commands 1:1: -F
1783499626.098103 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098105 cmd_parse_build_commands 1:3 0:0: send
1783499626.098106 cmd_parse_build_commands 1:3 0:1: -M
1783499626.098108 cmd_parse_build_commands 1:4 0:0: copy-mode
1783499626.098110 cmd_parse_build_commands 1:4 0:1: -H
1783499626.098111 cmd_parse_build_commands 1:4 1:0: send
1783499626.098113 cmd_parse_build_commands 1:4 1:1: -X
1783499626.098114 cmd_parse_build_commands 1:4 1:2: select-word
1783499626.098116 cmd_parse_build_commands 1:4 2:0: run
1783499626.098118 cmd_parse_build_commands 1:4 2:1: -d0.3
1783499626.098119 cmd_parse_build_commands 1:4 3:0: send
1783499626.098121 cmd_parse_build_commands 1:4 3:1: -X
1783499626.098123 cmd_parse_build_commands 1:4 3:2: copy-pipe-and-cancel
1783499626.098126 args_parse_flags: next -t=
1783499626.098128 args_parse_flag_argument: -t = =
1783499626.098129 args_parse: flags end at 2 of 2
1783499626.098132 cmd_parse_build_commands 0:0: send
1783499626.098133 cmd_parse_build_commands 0:1: -M
1783499626.098136 args_parse_flags: next -M
1783499626.098137 args_parse_flags: -M
1783499626.098139 args_parse: flags end at 2 of 2
1783499626.098141 cmd_parse_build_commands: send-keys -M
1783499626.098143 cmd_parse_build_commands 0:0: copy-mode
1783499626.098144 cmd_parse_build_commands 0:1: -H
1783499626.098146 cmd_parse_build_commands 1:0: send
1783499626.098148 cmd_parse_build_commands 1:1: -X
1783499626.098149 cmd_parse_build_commands 1:2: select-word
1783499626.098151 cmd_parse_build_commands 2:0: run
1783499626.098152 cmd_parse_build_commands 2:1: -d0.3
1783499626.098154 cmd_parse_build_commands 3:0: send
1783499626.098155 cmd_parse_build_commands 3:1: -X
1783499626.098157 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1783499626.098159 args_parse_flags: next -H
1783499626.098161 args_parse_flags: -H
1783499626.098162 args_parse: flags end at 2 of 2
1783499626.098165 args_parse_flags: next -X
1783499626.098167 args_parse_flags: -X
1783499626.098168 args_parse_flags: next select-word
1783499626.098170 args_parse: flags end at 2 of 3
1783499626.098171 args_parse: 2 = select-word (type STRING)
1783499626.098175 args_parse_flags: next -d0.3
1783499626.098176 args_parse_flag_argument: -d = 0.3
1783499626.098178 args_parse: flags end at 2 of 2
1783499626.098181 args_parse_flags: next -X
1783499626.098182 args_parse_flags: -X
1783499626.098184 args_parse_flags: next copy-pipe-and-cancel
1783499626.098186 args_parse: flags end at 2 of 3
1783499626.098187 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1783499626.098195 cmd_parse_build_commands: copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1783499626.098198 args_parse_flags: next -F
1783499626.098199 args_parse_flags: -F
1783499626.098201 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098205 args_parse: flags end at 2 of 5
1783499626.098207 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1783499626.098210 args_parse: 3 = send-keys -M (type COMMANDS)
1783499626.098224 args_parse: 4 = copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1783499626.098242 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1783499626.098245 args_parse_flags: next -n
1783499626.098246 args_parse_flags: -n
1783499626.098248 args_parse_flags: next DoubleClick1Pane
1783499626.098249 args_parse: flags end at 2 of 4
1783499626.098251 args_parse: 2 = DoubleClick1Pane (type STRING)
1783499626.098262 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } (type COMMANDS)
1783499626.098276 cmd_parse_build_commands: bind-key -n DoubleClick1Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } }
1783499626.098280 cmdq_get_command: [bind-key/0x58e4724e9290] group 878
1783499626.098282 cmdq_append <global>: [bind-key/0x58e4724e9290]
1783499626.098295 yylex_token: end at WS
1783499626.098298 yylex_token: bind
1783499626.098300 yylex_token: end at WS
1783499626.098301 yylex_token: -n
1783499626.098303 yylex_token: end at WS
1783499626.098304 yylex_token: TripleClick1Pane
1783499626.098306 yylex_token: end at WS
1783499626.098307 yylex_token: select-pane
1783499626.098309 yylex_token: end at ;
1783499626.098310 yylex_token: -t=
1783499626.098312 yylex_token: end at WS
1783499626.098313 yylex_token: if
1783499626.098314 yylex_token: end at WS
1783499626.098316 yylex_token: -F
1783499626.098318 yylex_token: end at WS
1783499626.098320 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098321 yylex_token: end at WS
1783499626.098323 yylex_token: send
1783499626.098324 yylex_token: end at WS
1783499626.098325 yylex_token: -M
1783499626.098327 yylex_token: end at WS
1783499626.098329 yylex_token: copy-mode
1783499626.098330 yylex_token: end at ;
1783499626.098331 yylex_token: -H
1783499626.098333 yylex_token: end at WS
1783499626.098334 yylex_token: send
1783499626.098335 yylex_token: end at WS
1783499626.098336 yylex_token: -X
1783499626.098338 yylex_token: end at ;
1783499626.098340 yylex_token: select-line
1783499626.098341 yylex_token: end at WS
1783499626.098343 yylex_token: run
1783499626.098344 yylex_token: end at ;
1783499626.098345 yylex_token: -d0.3
1783499626.098347 yylex_token: end at WS
1783499626.098348 yylex_token: send
1783499626.098349 yylex_token: end at WS
1783499626.098350 yylex_token: -X
1783499626.098352 yylex_token: end at WS
1783499626.098354 yylex_token: copy-pipe-and-cancel
1783499626.098357 cmd_parse_build_commands 0:0: bind
1783499626.098359 cmd_parse_build_commands 0:1: -n
1783499626.098361 cmd_parse_build_commands 0:2: TripleClick1Pane
1783499626.098363 cmd_parse_build_commands 0:3 0:0: select-pane
1783499626.098364 cmd_parse_build_commands 0:3 0:1: -t=
1783499626.098366 cmd_parse_build_commands 0:3 1:0: if
1783499626.098421 cmd_parse_build_commands 0:3 1:1: -F
1783499626.098431 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098434 cmd_parse_build_commands 0:3 1:3 0:0: send
1783499626.098436 cmd_parse_build_commands 0:3 1:3 0:1: -M
1783499626.098438 cmd_parse_build_commands 0:3 1:4 0:0: copy-mode
1783499626.098439 cmd_parse_build_commands 0:3 1:4 0:1: -H
1783499626.098441 cmd_parse_build_commands 0:3 1:4 1:0: send
1783499626.098442 cmd_parse_build_commands 0:3 1:4 1:1: -X
1783499626.098443 cmd_parse_build_commands 0:3 1:4 1:2: select-line
1783499626.098445 cmd_parse_build_commands 0:3 1:4 2:0: run
1783499626.098446 cmd_parse_build_commands 0:3 1:4 2:1: -d0.3
1783499626.098547 cmd_parse_build_commands 0:3 1:4 3:0: send
1783499626.098552 cmd_parse_build_commands 0:3 1:4 3:1: -X
1783499626.098555 cmd_parse_build_commands 0:3 1:4 3:2: copy-pipe-and-cancel
1783499626.098560 cmd_parse_build_commands 0:0: select-pane
1783499626.098562 cmd_parse_build_commands 0:1: -t=
1783499626.098564 cmd_parse_build_commands 1:0: if
1783499626.098566 cmd_parse_build_commands 1:1: -F
1783499626.098568 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098571 cmd_parse_build_commands 1:3 0:0: send
1783499626.098573 cmd_parse_build_commands 1:3 0:1: -M
1783499626.098575 cmd_parse_build_commands 1:4 0:0: copy-mode
1783499626.098577 cmd_parse_build_commands 1:4 0:1: -H
1783499626.098579 cmd_parse_build_commands 1:4 1:0: send
1783499626.098581 cmd_parse_build_commands 1:4 1:1: -X
1783499626.098583 cmd_parse_build_commands 1:4 1:2: select-line
1783499626.098584 cmd_parse_build_commands 1:4 2:0: run
1783499626.098586 cmd_parse_build_commands 1:4 2:1: -d0.3
1783499626.098588 cmd_parse_build_commands 1:4 3:0: send
1783499626.098590 cmd_parse_build_commands 1:4 3:1: -X
1783499626.098592 cmd_parse_build_commands 1:4 3:2: copy-pipe-and-cancel
1783499626.098597 args_parse_flags: next -t=
1783499626.098599 args_parse_flag_argument: -t = =
1783499626.098601 args_parse: flags end at 2 of 2
1783499626.098604 cmd_parse_build_commands 0:0: send
1783499626.098605 cmd_parse_build_commands 0:1: -M
1783499626.098609 args_parse_flags: next -M
1783499626.098610 args_parse_flags: -M
1783499626.098612 args_parse: flags end at 2 of 2
1783499626.098615 cmd_parse_build_commands: send-keys -M
1783499626.098617 cmd_parse_build_commands 0:0: copy-mode
1783499626.098619 cmd_parse_build_commands 0:1: -H
1783499626.098620 cmd_parse_build_commands 1:0: send
1783499626.098622 cmd_parse_build_commands 1:1: -X
1783499626.098624 cmd_parse_build_commands 1:2: select-line
1783499626.098626 cmd_parse_build_commands 2:0: run
1783499626.098627 cmd_parse_build_commands 2:1: -d0.3
1783499626.098629 cmd_parse_build_commands 3:0: send
1783499626.098631 cmd_parse_build_commands 3:1: -X
1783499626.098633 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1783499626.098635 args_parse_flags: next -H
1783499626.098636 args_parse_flags: -H
1783499626.098638 args_parse: flags end at 2 of 2
1783499626.098641 args_parse_flags: next -X
1783499626.098643 args_parse_flags: -X
1783499626.098644 args_parse_flags: next select-line
1783499626.098646 args_parse: flags end at 2 of 3
1783499626.098648 args_parse: 2 = select-line (type STRING)
1783499626.098651 args_parse_flags: next -d0.3
1783499626.098653 args_parse_flag_argument: -d = 0.3
1783499626.098654 args_parse: flags end at 2 of 2
1783499626.098657 args_parse_flags: next -X
1783499626.098659 args_parse_flags: -X
1783499626.098661 args_parse_flags: next copy-pipe-and-cancel
1783499626.098662 args_parse: flags end at 2 of 3
1783499626.098664 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1783499626.098672 cmd_parse_build_commands: copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1783499626.098674 args_parse_flags: next -F
1783499626.098676 args_parse_flags: -F
1783499626.098678 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1783499626.098679 args_parse: flags end at 2 of 5
1783499626.098682 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1783499626.098684 args_parse: 3 = send-keys -M (type COMMANDS)
1783499626.098691 args_parse: 4 = copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1783499626.098702 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1783499626.098705 args_parse_flags: next -n
1783499626.098706 args_parse_flags: -n
1783499626.098708 args_parse_flags: next TripleClick1Pane
1783499626.098709 args_parse: flags end at 2 of 4
1783499626.098799 args_parse: 2 = TripleClick1Pane (type STRING)
1783499626.098820 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } (type COMMANDS)
1783499626.098843 cmd_parse_build_commands: bind-key -n TripleClick1Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } }
1783499626.098852 cmdq_get_command: [bind-key/0x58e4724ea530] group 898
1783499626.098855 cmdq_append <global>: [bind-key/0x58e4724ea530]
1783499626.098887 yylex_token: end at WS
1783499626.098892 yylex_token: bind
1783499626.098895 yylex_token: end at WS
1783499626.098897 yylex_token: -n
1783499626.098899 yylex_token: end at WS
1783499626.098901 yylex_token: MouseDrag1Border
1783499626.098903 yylex_token: end at WS
1783499626.098904 yylex_token: resize-pane
1783499626.098906 yylex_token: end at WS
1783499626.098907 yylex_token: -M
1783499626.098911 cmd_parse_build_commands 0:0: bind
1783499626.098913 cmd_parse_build_commands 0:1: -n
1783499626.098915 cmd_parse_build_commands 0:2: MouseDrag1Border
1783499626.098917 cmd_parse_build_commands 0:3 0:0: resize-pane
1783499626.098919 cmd_parse_build_commands 0:3 0:1: -M
1783499626.098923 cmd_parse_build_commands 0:0: resize-pane
1783499626.098924 cmd_parse_build_commands 0:1: -M
1783499626.098928 args_parse_flags: next -M
1783499626.098930 args_parse_flags: -M
1783499626.098932 args_parse: flags end at 2 of 2
1783499626.098935 cmd_parse_build_commands: resize-pane -M
1783499626.098937 args_parse_flags: next -n
1783499626.098938 args_parse_flags: -n
1783499626.098940 args_parse_flags: next MouseDrag1Border
1783499626.098941 args_parse: flags end at 2 of 4
1783499626.098943 args_parse: 2 = MouseDrag1Border (type STRING)
1783499626.098946 args_parse: 3 = resize-pane -M (type COMMANDS)
1783499626.098952 cmd_parse_build_commands: bind-key -n MouseDrag1Border { resize-pane -M }
1783499626.098955 cmdq_get_command: [bind-key/0x58e4724e99a0] group 918
1783499626.098957 cmdq_append <global>: [bind-key/0x58e4724e99a0]
1783499626.098960 yylex_token: end at WS
1783499626.098962 yylex_token: bind
1783499626.098963 yylex_token: end at WS
1783499626.098965 yylex_token: -n
1783499626.098966 yylex_token: end at WS
1783499626.098968 yylex_token: MouseDown1Status
1783499626.098970 yylex_token: end at WS
1783499626.098971 yylex_token: select-window
1783499626.098973 yylex_token: end at WS
1783499626.098974 yylex_token: -t=
1783499626.098977 cmd_parse_build_commands 0:0: bind
1783499626.098979 cmd_parse_build_commands 0:1: -n
1783499626.098981 cmd_parse_build_commands 0:2: MouseDown1Status
1783499626.098983 cmd_parse_build_commands 0:3 0:0: select-window
1783499626.098984 cmd_parse_build_commands 0:3 0:1: -t=
1783499626.098987 cmd_parse_build_commands 0:0: select-window
1783499626.098989 cmd_parse_build_commands 0:1: -t=
1783499626.098992 args_parse_flags: next -t=
1783499626.098994 args_parse_flag_argument: -t = =
1783499626.098996 args_parse: flags end at 2 of 2
1783499626.098999 cmd_parse_build_commands: select-window -t =
1783499626.099001 args_parse_flags: next -n
1783499626.099002 args_parse_flags: -n
1783499626.099004 args_parse_flags: next MouseDown1Status
1783499626.099005 args_parse: flags end at 2 of 4
1783499626.099007 args_parse: 2 = MouseDown1Status (type STRING)
1783499626.099011 args_parse: 3 = select-window -t = (type COMMANDS)
1783499626.099016 cmd_parse_build_commands: bind-key -n MouseDown1Status { select-window -t = }
1783499626.099019 cmdq_get_command: [bind-key/0x58e4724d2270] group 926
1783499626.099021 cmdq_append <global>: [bind-key/0x58e4724d2270]
1783499626.099024 yylex_token: end at WS
1783499626.099025 yylex_token: bind
1783499626.099027 yylex_token: end at WS
1783499626.099028 yylex_token: -n
1783499626.099030 yylex_token: end at WS
1783499626.099031 yylex_token: WheelDownStatus
1783499626.099033 yylex_token: end at WS
1783499626.099041 yylex_token: next-window
1783499626.099045 cmd_parse_build_commands 0:0: bind
1783499626.099046 cmd_parse_build_commands 0:1: -n
1783499626.099048 cmd_parse_build_commands 0:2: WheelDownStatus
1783499626.099050 cmd_parse_build_commands 0:3 0:0: next-window
1783499626.099053 cmd_parse_build_commands 0:0: next-window
1783499626.099055 args_parse: flags end at 1 of 1
1783499626.099058 cmd_parse_build_commands: next-window
1783499626.099060 args_parse_flags: next -n
1783499626.099061 args_parse_flags: -n
1783499626.099063 args_parse_flags: next WheelDownStatus
1783499626.099064 args_parse: flags end at 2 of 4
1783499626.099066 args_parse: 2 = WheelDownStatus (type STRING)
1783499626.099069 args_parse: 3 = next-window (type COMMANDS)
1783499626.099073 cmd_parse_build_commands: bind-key -n WheelDownStatus { next-window }
1783499626.099076 cmdq_get_command: [bind-key/0x58e4724e1590] group 934
1783499626.099078 cmdq_append <global>: [bind-key/0x58e4724e1590]
1783499626.099081 yylex_token: end at WS
1783499626.099082 yylex_token: bind
1783499626.099084 yylex_token: end at WS
1783499626.099085 yylex_token: -n
1783499626.099087 yylex_token: end at WS
1783499626.099088 yylex_token: WheelUpStatus
1783499626.099090 yylex_token: end at WS
1783499626.099092 yylex_token: previous-window
1783499626.099094 cmd_parse_build_commands 0:0: bind
1783499626.099096 cmd_parse_build_commands 0:1: -n
1783499626.099098 cmd_parse_build_commands 0:2: WheelUpStatus
1783499626.099100 cmd_parse_build_commands 0:3 0:0: previous-window
1783499626.099103 cmd_parse_build_commands 0:0: previous-window
1783499626.099106 args_parse: flags end at 1 of 1
1783499626.099108 cmd_parse_build_commands: previous-window
1783499626.099110 args_parse_flags: next -n
